np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-4.203192, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan,-2.487168, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan,-4.142232, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan,-3.008376, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan,-1.548384, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-3.331464, np.nan
np.nan, np.nan, np.nan, np.nan,-2.505456, np.nan, np.nan, np.nan, np.nan,-2.62128, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan,-3.270504, np.nan, np.nan, np.nan, np.nan, np.nan,-3.282696, np.nan
np.nan, np.nan, np.nan, np.nan,-3.758184, np.nan, np.nan, np.nan, np.nan, np.nan,-4.93776, np.nan
np.nan, np.nan, np.nan, np.nan,-5.492496, np.nan, np.nan, np.nan, np.nan, np.nan,-4.608576, np.nan
np.nan, np.nan, np.nan, np.nan,-5.321808, np.nan, np.nan, np.nan, np.nan, np.nan,-5.178552, np.nan
np.nan, np.nan, np.nan,-6.379464, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-4.163568, np.nan
np.nan, np.nan, np.nan, np.nan,-6.391656, np.nan, np.nan, np.nan, np.nan, np.nan,-6.742176, np.nan
np.nan, np.nan, np.nan, np.nan,-7.80288, np.nan, np.nan, np.nan, np.nan, np.nan,-7.763256, np.nan
np.nan, np.nan, np.nan, np.nan,-7.943088, np.nan, np.nan, np.nan, np.nan, np.nan,-7.623048, np.nan
np.nan, np.nan, np.nan, np.nan,-7.876032, np.nan, np.nan, np.nan, np.nan, np.nan,-8.223504, np.nan
np.nan, np.nan, np.nan, np.nan,-7.988808, np.nan, np.nan, np.nan, np.nan, np.nan,-5.675376, np.nan
np.nan, np.nan, np.nan, np.nan,-7.973568, np.nan, np.nan, np.nan, np.nan, np.nan,-7.272528, np.nan
np.nan, np.nan, np.nan, np.nan,-7.717536, np.nan, np.nan, np.nan, np.nan, np.nan,-7.226808, np.nan
np.nan, np.nan, np.nan, np.nan,-7.86384, np.nan, np.nan, np.nan, np.nan, np.nan,-7.342632, np.nan
np.nan, np.nan, np.nan, np.nan,-9.314688, np.nan, np.nan, np.nan, np.nan, np.nan,-10.527792, np.nan
np.nan, np.nan, np.nan, np.nan,-10.844784, np.nan, np.nan, np.nan, np.nan, np.nan,-8.211312, np.nan
np.nan, np.nan, np.nan, np.nan,-8.415528, np.nan, np.nan, np.nan, np.nan, np.nan,-9.497568, np.nan
np.nan, np.nan, np.nan, np.nan,-10.10412, np.nan, np.nan, np.nan, np.nan, np.nan,-10.433304, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-8.59536, np.nan
np.nan, np.nan, np.nan, np.nan,-9.759696, np.nan, np.nan, np.nan, np.nan, np.nan,-9.226296, np.nan
np.nan, np.nan, np.nan, np.nan,-10.536936, np.nan, np.nan, np.nan, np.nan, np.nan,-10.558272, np.nan
np.nan, np.nan, np.nan, np.nan,-10.244328, np.nan, np.nan, np.nan, np.nan, np.nan,-11.106912, np.nan
np.nan, np.nan, np.nan,-10.308336, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-10.963656, np.nan
np.nan, np.nan, np.nan, np.nan,-11.042904, np.nan, np.nan, np.nan, np.nan, np.nan,-9.107424, np.nan
np.nan, np.nan, np.nan, np.nan,-10.30224, np.nan, np.nan, np.nan, np.nan, np.nan,-9.256776, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-5.407152, np.nan
np.nan, np.nan, np.nan, np.nan,-8.705088, np.nan, np.nan, np.nan, np.nan, np.nan,-10.783824, np.nan
np.nan, np.nan, np.nan, np.nan,-11.06424, np.nan, np.nan, np.nan, np.nan, np.nan,-9.211056, np.nan
np.nan, np.nan, np.nan, np.nan,-12.158472, np.nan, np.nan, np.nan, np.nan, np.nan,-11.100816, np.nan
np.nan,-9.110472, np.nan, np.nan, np.nan,-10.741152, np.nan, np.nan, np.nan,-9.86028, np.nan, np.nan
-8.988552, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-9.744456, np.nan, np.nan
-8.729472, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-3.785616, np.nan, np.nan
-4.43484, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-4.690872, np.nan, np.nan
-9.354312, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan,-8.781288, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-9.009888, np.nan, np.nan
-2.420112, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan,-1.435608, np.nan, np.nan, np.nan
-7.28472, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
-8.247888, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
-8.372856, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
-6.998208, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
-7.930896, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
np.nan,-7.949184, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan, np.nan
